RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
T1,T1,Sam Burns,70,11,216,1
T1,T1,Emiliano Grillo,73,11,224,1
T1,T1,Justin Thomas,55,11,162,3
T4,T4,Rory McIlroy,54,10,168,
T4,T4,Keith Mitchell,66,10,208,
T4,T4,J.T. Poston,78,10,240,3
T7,T7,Max Homa,63,9,194,3
T7,T7,Sung Kang,70,9,222,2
T7,T7,Carlos Ortiz,66,9,208,2
T7,T7,Scott Piercy,74,9,224,2
T11,T11,Paul Casey,59,8,182,
T11,T11,Harris English,79,8,244,2
T11,T11,Tony Finau,65,8,196,1
T11,T11,Dylan Frittelli,57,8,180,2
T11,T11,Cody Gribble,58,8,168,3
T11,T11,Sungjae Im,92,8,285,1
T11,T11,Brooks Koepka,57,8,156,3
T11,T11,Martin Laird,64,8,194,3
T11,T11,Marc Leishman,60,8,188,
T11,T11,Luke List,54,8,168,4
T11,T11,Kevin Na,56,8,168,
T11,T11,Xander Schauffele,59,8,192,1
T11,T11,Adam Schenk,82,8,266,3
T24,T24,Keegan Bradley,71,7,208,1
T24,T24,Rafa Cabrera Bello,61,7,204,1
T24,T24,Cameron Champ,60,7,182,1
T24,T24,Tommy Fleetwood,51,7,144,1
T24,T24,Branden Grace,64,7,192,2
T24,T24,Adam Hadwin,68,7,208,3
T24,T24,Zach Johnson,54,7,162,2
T24,T24,Matt Kuchar,69,7,196,1
T24,T24,Adam Long,56,7,180,3
T24,T24,Joaquin Niemann,72,7,220,1
T24,T24,Seamus Power,62,7,185,3
T24,T24,Jon Rahm,55,7,168,1
T24,T24,Sam Ryder,56,7,194,2
T24,T24,Hudson Swafford,59,7,182,3
T24,T24,Jhonattan Vegas,62,7,200,1
T24,T24,Gary Woodland,67,7,211,
T40,T41,Joel Dahmen,84,6,260,2
T40,T41,Rickie Fowler,58,6,188,2
T40,T41,Charley Hoffman,60,6,192,
T40,T41,Matt Jones,72,6,226,1
T40,T41,Chris Kirk,47,6,152,2
T40,T41,Troy Merritt,45,6,132,2
T40,T41,Ryan Moore,58,6,200,1
T40,T41,SebastiÃ¡n MuÃ±oz,60,6,186,2
T40,T41,Trey Mullinax,69,6,206,1
T40,T41,Pat Perez,52,6,170,
T40,T41,Alex Prugh,62,6,189,2
T40,T41,Seth Reeves,56,6,174,2
T40,T41,Patrick Rodgers,44,6,146,
T40,T41,Justin Rose,46,6,144,
T40,T41,Webb Simpson,57,6,162,
T40,T41,Scott Stallings,65,6,214,3
T40,T41,Kyle Stanley,61,6,184,1
T40,T41,Adam Svensson,53,6,170,1
T40,T41,Nick Taylor,77,6,236,
T40,T41,Michael Thompson,56,6,184,3
T40,T41,Bubba Watson,53,6,146,1
T61,T62,Abraham Ancer,77,5,228,1
T61,T62,Sangmoon Bae,46,5,140,
T61,T62,Ryan Blaum,71,5,218,2
T61,T62,Scott Brown,70,5,204,2
T61,T62,Bud Cauley,63,5,204,
T61,T62,Wyndham Clark,65,5,204,
T61,T62,Matthew Fitzpatrick,46,5,144,2
T61,T62,Brian Gay,81,5,240,1
T61,T62,FabiÃ¡n GÃ³mez,46,5,154,
T61,T62,Billy Horschel,77,5,236,
T61,T62,Charles Howell III,68,5,219,
T61,T62,Mackenzie Hughes,62,5,180,2
T61,T62,Scott Langley,64,5,194,2
T61,T62,Graeme McDowell,65,5,194,1
T61,T62,Grayson Murray,36,5,127,
T61,T62,C.T. Pan,70,5,224,3
T61,T62,Chez Reavie,75,5,218,
T61,T62,Patrick Reed,61,5,188,1
T61,T62,Wes Roach,47,5,147,1
T61,T62,Adam Scott,45,5,148,
T61,T62,Roger Sloan,64,5,203,2
T61,T62,Chris Stroud,56,5,175,3
T61,T62,Vaughn Taylor,73,5,230,1
T61,T62,Richy Werenski,67,5,208,3
T85,T86,Lucas Bjerregaard,39,4,100,
T85,T86,Jonathan Byrd,43,4,142,1
T85,T86,Jason Day,53,4,168,
T85,T86,Bryson DeChambeau,53,4,158,3
T85,T86,Jason Dufner,60,4,186,2
T85,T86,Tyler Duncan,70,4,218,2
T85,T86,JuliÃ¡n Etulain,59,4,184,1
T85,T86,Matt Every,38,4,112,2
T85,T86,Brice Garnett,65,4,204,
T85,T86,Lucas Glover,66,4,208,3
T85,T86,Bill Haas,58,4,175,
T85,T86,Chesson Hadley,64,4,206,
T85,T86,Brandon Harkins,71,4,216,1
T85,T86,Brian Harman,71,4,214,1
T85,T86,Kramer Hickok,63,4,202,3
T85,T86,Tom Hoge,77,4,236,
T85,T86,Freddie Jacobson,41,4,122,1
T85,T86,Stephan Jaeger,63,4,186,
T85,T86,Russell Knox,69,4,198,1
T85,T86,Kelly Kraft,69,4,206,1
T85,T86,Hunter Mahan,47,4,164,2
T85,T86,Rory Sabbatini,75,4,236,
T85,T86,Ollie Schniederjans,67,4,211,2
T85,T86,Ben Silverman,56,4,178,1
T85,T86,Peter Uihlein,67,4,215,1
T85,T86,Matt Wallace,35,4,102,1
T85,T86,Nick Watney,71,4,218,1
T85,T86,Tiger Woods,35,4,104,
T113,T114,Anders Albertson,50,3,158,
T113,T114,Byeong Hun An,60,3,187,1
T113,T114,Aaron Baddeley,55,3,192,
T113,T114,Dominic Bozzelli,55,3,166,1
T113,T114,Patrick Cantlay,57,3,172,
T113,T114,Roberto Castro,56,3,172,1
T113,T114,John Chin,40,3,138,1
T113,T114,Corey Conners,62,3,192,1
T113,T114,Cameron Davis,58,3,184,1
T113,T114,Joey Garber,46,3,138,1
T113,T114,Sergio Garcia,43,3,104,
T113,T114,Talor Gooch,37,3,116,1
T113,T114,Russell Henley,58,3,168,2
T113,T114,Beau Hossler,69,3,230,
T113,T114,Si Woo Kim,69,3,222,
T113,T114,Patton Kizzire,62,3,194,
T113,T114,Jim Knous,57,3,176,1
T113,T114,Jason Kokrak,70,3,224,
T113,T114,Hank Lebioda,59,3,176,2
T113,T114,Danny Lee,68,3,200,1
T113,T114,Kyoung-Hoon Lee,78,3,243,2
T113,T114,Hideki Matsuyama,63,3,200,2
T113,T114,Denny McCarthy,65,3,198,
T113,T114,Alex Noren,51,3,154,
T113,T114,Ian Poulter,51,3,146,2
T113,T114,Brady Schnell,42,3,138,2
T113,T114,John Senden,39,3,136,
T113,T114,Cameron Smith,61,3,182,
T113,T114,Brandt Snedeker,76,3,240,1
T113,T114,Jordan Spieth,63,3,190,2
T113,T114,Brendan Steele,54,3,182,
T113,T114,Sepp Straka,54,3,176,
T113,T114,Robert Streb,64,3,196,1
T113,T114,Josh Teater,51,3,156,
T113,T114,Martin Trainer,53,3,181,
T113,T114,Kevin Tway,66,3,196,
T113,T114,Johnson Wagner,45,3,144,
T113,T114,Jimmy Walker,63,3,200,1
T151,T152,Kiradech Aphibarnrat,53,2,164,
T151,T152,Jonas Blixt,68,2,210,
T151,T152,Bronson Burgoon,41,2,128,
T151,T152,Austin Cook,52,2,156,2
T151,T152,Ernie Els,45,2,142,
T151,T152,Tyrrell Hatton,50,2,154,
T151,T152,John Huh,35,2,116,1
T151,T152,Kyle Jones,51,2,160,
T151,T152,Michael Kim,53,2,176,1
T151,T152,Kevin Kisner,73,2,200,1
T151,T152,Satoshi Kodaira,53,2,166,
T151,T152,Nate Lashley,48,2,154,1
T151,T152,Haotong Li,36,2,112,
T151,T152,Phil Mickelson,47,2,148,
T151,T152,Louis Oosthuizen,51,2,150,2
T151,T152,JosÃ© de JesÃºs RodrÃ­guez,53,2,174,2
T151,T152,Sam Saunders,59,2,191,1
T151,T152,Shawn Stefani,60,2,184,
T151,T152,Kevin Streelman,67,2,216,
T151,T152,Brian Stuard,82,2,258,
T151,T152,Cameron Tringale,55,2,174,
T151,T152,Harold Varner III,66,2,200,1
T151,T152,Aaron Wise,56,2,174,
T151,T152,Chase Wright,55,2,165,1
T175,T177,Ryan Armour,70,1,224,
T175,T177,Daniel Berger,54,1,162,
T175,T177,Alex Cejka,44,1,136,
T175,T177,Ben Crane,41,1,133,1
T175,T177,Roberto DÃ­az,55,1,170,
T175,T177,Jim Furyk,57,1,162,
T175,T177,David Hearn,41,1,126,
T175,T177,J.J. Henry,44,1,128,
T175,T177,Jim Herman,40,1,126,
T175,T177,J.B. Holmes,58,1,177,
T175,T177,Dustin Johnson,51,1,160,
T175,T177,Martin Kaymer,42,1,136,
T175,T177,Whee Kim,59,1,181,
T175,T177,Anirban Lahiri,58,1,172,
T175,T177,Andrew Landry,60,1,186,
T175,T177,Curtis Luck,53,1,170,
T175,T177,Peter Malnati,68,1,199,1
T175,T177,Ryan Palmer,56,1,164,
T175,T177,"Ted Potter, Jr.",56,1,182,
T175,T177,Andrew Putnam,65,1,198,
T175,T177,J.J. Spaun,72,1,220,
T175,T177,Henrik Stenson,50,1,136,
T175,T177,Chris Thompson,36,1,122,1
T175,T177,Danny Willett,51,1,172,
