RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,1,Tommy Fleetwood,73,56.32,107,190
2,2,Justin Thomas,91,55.93,132,236
3,3,Brooks Koepka,64,55.49,91,164
4,4,Dustin Johnson,77,55.36,124,224
5,5,Justin Rose,70,54.37,112,206
6,6,Jon Rahm,71,53.96,109,202
7,7,Bryson DeChambeau,93,53.93,151,280
8,8,Tony Finau,105,53.69,160,298
9,9,Keith Mitchell,99,53.02,158,298
10,10,Jordan Spieth,81,52.70,117,222
11,11,Gary Woodland,96,52.26,139,266
12,12,Rory McIlroy,64,51.74,89,172
13,13,Sam Saunders,80,51.36,113,220
14,14,Jason Kokrak,99,50.65,155,306
15,15,Phil Mickelson,90,50.38,133,264
16,16,Xander Schauffele,96,50.36,138,274
17,17,Billy Horschel,86,50.20,127,253
T18,T18,Paul Casey,74,50.00,106,212
T18,T18,Tom Lovelady,87,50.00,128,256
T18,T18,Bubba Watson,90,50.00,117,234
21,21,Luke List,98,49.66,147,296
22,22,Lanto Griffin,80,49.56,113,228
T23,T23,Bronson Burgoon,69,49.52,104,210
T23,T23,Jason Day,75,49.52,104,210
25,25,Rory Sabbatini,91,49.47,139,281
26,26,Kevin Tway,110,49.10,164,334
27,27,Rickie Fowler,74,49.06,104,212
28,28,Henrik Stenson,60,48.81,82,168
29,29,Shawn Stefani,76,48.74,116,238
30,30,Patrick Cantlay,87,48.73,115,236
31,31,Cameron Percy,56,48.72,76,156
32,32,Ryan Palmer,69,48.69,93,191
33,33,Tiger Woods,68,48.48,96,198
34,34,Ricky Barnes,65,48.22,95,197
35,35,Martin Laird,73,48.10,101,210
36,36,Blayne Barber,69,47.94,93,194
37,37,Harold Varner III,91,47.84,133,278
38,38,Alex Noren,67,47.73,84,176
39,39,Patton Kizzire,92,47.67,123,258
40,40,Keegan Bradley,98,47.39,136,287
41,41,Seamus Power,86,47.13,115,244
T42,T42,Stephan Jaeger,81,47.08,113,240
T42,T42,Peter Uihlein,83,47.08,113,240
44,44,Hudson Swafford,73,46.82,103,220
45,45,Jamie Lovemark,92,46.81,132,282
46,46,J.B. Holmes,77,46.69,113,242
47,47,Cameron Smith,85,46.61,110,236
48,48,Vaughn Taylor,83,46.55,108,232
49,49,Webb Simpson,95,46.43,117,252
50,50,Aaron Wise,90,46.27,124,268
51,51,James Hahn,85,46.21,122,264
52,52,Byeong Hun An,86,45.97,114,248
T53,T53,Patrick Reed,94,45.93,124,270
T53,T53,Michael Thompson,62,45.93,79,172
55,55,Ollie Schniederjans,91,45.83,121,264
56,56,Joel Dahmen,93,45.80,120,262
57,57,Matt Jones,70,45.79,87,190
58,58,Matt Every,79,45.71,112,245
T59,T59,Kevin Kisner,89,45.54,102,224
T59,T59,Ian Poulter,73,45.54,92,202
61,61,Marc Leishman,93,45.52,122,268
62,62,Daniel Berger,81,45.50,101,222
63,63,Kiradech Aphibarnrat,51,45.45,60,132
64,64,Trey Mullinax,75,45.24,95,210
65,65,Troy Merritt,89,45.22,123,272
66,66,Kevin Chappell,77,45.13,102,226
67,67,Kyle Stanley,93,45.11,120,266
68,68,Si Woo Kim,108,45.09,147,326
69,69,Harris English,84,45.08,110,244
70,70,Austin Cook,107,45.03,145,322
T71,T71,Lucas Glover,65,45.00,99,220
T71,T71,Hideki Matsuyama,75,45.00,99,220
T71,T71,Jimmy Walker,81,45.00,108,240
74,74,Patrick Rodgers,97,44.93,133,296
75,75,Kevin Na,91,44.92,115,256
76,76,FabiÃ¡n GÃ³mez,88,44.83,117,261
77,77,Tyler Duncan,97,44.80,125,279
78,78,Ryan Armour,109,44.75,145,324
79,79,Jhonattan Vegas,92,44.72,127,284
80,80,Rafa Cabrera Bello,75,44.71,93,208
81,81,Brice Garnett,99,44.63,133,298
82,82,Brandon Harkins,101,44.59,132,296
83,83,Francesco Molinari,73,44.50,89,200
84,84,Sam Ryder,82,44.49,113,254
85,85,Tom Hoge,101,44.33,129,291
86,86,Nick Taylor,94,44.22,130,294
87,87,Xinjun Zhang,81,44.02,103,234
88,88,Brian Gay,103,44.00,132,300
89,89,Adam Scott,78,43.98,106,241
T90,T90,Abraham Ancer,98,43.96,131,298
T90,T90,Kevin Streelman,94,43.96,131,298
92,92,J.J. Spaun,85,43.91,101,230
93,93,Beau Hossler,104,43.90,144,328
T94,T94,Jonathan Byrd,70,43.88,86,196
T94,T94,Brett Stegmaier,67,43.88,86,196
96,96,Denny McCarthy,71,43.81,85,194
97,97,Chesson Hadley,103,43.73,136,311
98,98,Steve Wheatcroft,60,43.68,83,190
99,99,Emiliano Grillo,94,43.57,122,280
100,100,Martin Piller,79,43.55,108,248
101,101,Chris Kirk,108,43.53,148,340
102,102,Branden Grace,67,43.33,91,210
103,103,Brendan Steele,74,43.27,90,208
104,104,Pat Perez,82,43.23,99,229
105,105,Scott Stallings,96,43.17,120,278
106,106,Richy Werenski,98,43.06,124,288
107,107,Conrad Shindler,60,43.02,74,172
