RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,1,Phil Mickelson,47,22.06,103,467
2,2,Justin Thomas,55,21.40,122,570
3,3,Rafa Cabrera Bello,61,21.23,128,603
4,4,Patrick Cantlay,57,21.04,117,556
5,5,Gary Woodland,67,20.67,142,687
6,6,Ryan Palmer,56,20.60,116,563
7,7,Rory McIlroy,54,20.52,110,536
8,8,Matt Every,38,20.39,74,363
9,9,Xander Schauffele,59,20.30,121,596
10,10,Brooks Koepka,57,20.26,111,548
11,11,Andrew Putnam,65,19.69,127,645
12,12,Abraham Ancer,77,19.62,153,780
13,13,Jordan Spieth,63,19.41,126,649
14,14,Rickie Fowler,58,19.39,121,624
15,15,Aaron Wise,56,19.23,110,572
16,16,Talor Gooch,37,19.20,77,401
17,17,Wyndham Clark,65,19.17,129,673
18,18,Justin Rose,46,19.14,85,444
19,19,Dominic Bozzelli,55,19.13,110,575
20,20,Bryson DeChambeau,53,19.05,104,546
21,21,Keith Mitchell,66,19.02,128,673
22,22,Jason Day,53,19.01,96,505
23,23,Dustin Johnson,51,18.98,97,511
24,24,Si Woo Kim,69,18.87,127,673
25,25,Troy Merritt,45,18.83,84,446
26,26,Jason Kokrak,70,18.82,131,696
27,27,Jonathan Byrd,43,18.79,81,431
T28,T28,Charles Howell III,68,18.71,130,695
T28,T28,Scott Piercy,74,18.71,142,759
30,30,Tiger Woods,35,18.67,59,316
31,31,Hideki Matsuyama,63,18.59,119,640
32,32,Brandon Harkins,71,18.55,133,717
33,33,Byeong Hun An,60,18.49,113,611
34,34,Chez Reavie,75,18.47,135,731
35,35,Matt Kuchar,69,18.37,124,675
36,36,Vaughn Taylor,73,18.31,139,759
37,37,Webb Simpson,57,18.29,109,596
38,38,Sungjae Im,92,18.26,172,942
T39,T39,David Hearn,41,18.25,71,389
T39,T39,Jon Rahm,55,18.25,92,504
41,41,Aaron Baddeley,55,18.20,105,577
42,42,Beau Hossler,69,18.14,133,733
T43,T43,J.B. Holmes,58,18.10,97,536
T43,T43,Adam Scott,45,18.10,82,453
45,45,Jonas Blixt,68,18.05,128,709
46,46,Tyrrell Hatton,50,18.03,88,488
T47,T47,Johnson Wagner,45,17.94,82,457
T47,T47,Chase Wright,55,17.94,103,574
T49,T49,Danny Lee,68,17.92,129,720
T49,T49,Matt Wallace,35,17.92,62,346
51,51,Sam Burns,70,17.90,131,732
52,52,Sam Ryder,56,17.86,105,588
53,53,Hank Lebioda,59,17.83,105,589
54,54,Curtis Luck,53,17.81,91,511
55,55,Kevin Kisner,73,17.80,118,663
