RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
T88,T89,Bud Cauley,63,13.39,34,254
T88,T89,Stephan Jaeger,63,13.39,32,239
90,91,Adam Scott,45,13.29,23,173
91,92,Tony Finau,65,13.28,32,241
92,93,Scott Stallings,65,13.25,33,249
T93,T94,Ryan Blaum,71,13.24,36,272
T93,T94,Cody Gribble,58,13.24,29,219
95,96,Si Woo Kim,69,13.23,34,257
96,97,Robert Streb,64,13.22,32,242
T97,T98,Brandon Harkins,71,13.19,36,273
T97,T98,J.J. Spaun,72,13.19,36,273
99,100,Dominic Bozzelli,55,13.15,28,213
100,101,Troy Merritt,45,13.13,21,160
101,102,Whee Kim,59,13.12,29,221
102,103,Scott Brown,70,13.11,35,267
103,104,Brian Gay,81,13.10,41,313
104,105,Chase Wright,55,13.02,28,215
105,106,Kiradech Aphibarnrat,53,13.00,26,200
T106,T107,Ollie Schniederjans,67,12.98,34,262
T106,T107,Danny Willett,51,12.98,27,208
T108,T109,Dustin Johnson,51,12.95,25,193
T108,T109,Cameron Smith,61,12.95,29,224
110,111,Curtis Luck,53,12.94,26,201
111,112,Tyrrell Hatton,50,12.90,24,186
112,113,Tom Hoge,77,12.88,38,295
113,114,John Huh,35,12.77,18,141
114,115,Luke List,54,12.75,26,204
115,116,Brian Stuard,82,12.62,40,317
116,117,Kevin Tway,66,12.60,31,246
117,118,Beau Hossler,69,12.54,35,279
T118,T119,Jhonattan Vegas,62,12.50,30,240
T118,T119,Bubba Watson,53,12.50,23,184
T120,T121,Wyndham Clark,65,12.45,32,257
T120,T121,Sam Saunders,59,12.45,30,241
122,123,Phil Mickelson,47,12.43,22,177
123,124,J.T. Poston,78,12.42,37,298
124,126,Seth Reeves,56,12.33,27,219
125,127,Michael Kim,53,12.32,25,203
126,128,Sangmoon Bae,46,12.29,22,179
T127,T129,Matt Jones,72,12.27,34,277
T127,T129,Xander Schauffele,59,12.27,27,220
129,131,Jimmy Walker,63,12.25,31,253
130,132,Aaron Baddeley,55,12.22,27,221
131,133,Kevin Streelman,67,12.17,32,263
132,134,"Ted Potter, Jr.",56,12.09,26,215
133,135,Andrew Landry,60,12.05,27,224
134,136,Tyler Duncan,70,12.00,33,275
135,137,Roberto DÃ­az,55,11.96,25,209
136,138,Anders Albertson,50,11.92,23,193
137,139,Martin Kaymer,42,11.90,20,168
T138,T140,Kevin Kisner,73,11.86,30,253
T138,T140,Keith Mitchell,66,11.86,30,253
140,142,Byeong Hun An,60,11.84,27,228
141,143,Zach Johnson,54,11.82,26,220
142,144,Charles Howell III,68,11.72,30,256
143,145,Wes Roach,47,11.60,21,181
144,146,Chris Kirk,47,11.54,21,182
145,147,Jonathan Byrd,43,11.52,19,165
146,148,Sam Ryder,56,11.50,26,226
T147,T149,Alex Prugh,62,11.49,27,235
T147,T149,Roger Sloan,64,11.49,30,261
T149,T151,Branden Grace,64,11.45,26,227
T149,T151,Nick Taylor,77,11.45,34,297
151,153,Talor Gooch,37,11.41,17,149
T152,T154,FabiÃ¡n GÃ³mez,46,11.35,21,185
T152,T154,Nate Lashley,48,11.35,21,185
154,156,Max Homa,63,11.34,28,247
155,157,Kramer Hickok,63,11.28,29,257
156,158,Chris Stroud,56,11.27,24,213
157,159,David Hearn,41,11.26,17,151
158,160,C.T. Pan,70,11.23,31,276
159,161,Patrick Reed,61,11.21,25,223
T160,T162,Jim Knous,57,11.16,24,215
T160,T162,Martin Trainer,53,11.16,24,215
162,164,Henrik Stenson,50,11.05,19,172
T163,T165,Ernie Els,45,10.98,19,173
T163,T165,Johnson Wagner,45,10.98,19,173
165,167,Haotong Li,36,10.94,14,128
166,168,Grayson Murray,36,10.88,16,147
167,169,Jim Furyk,57,10.80,23,213
168,170,Kyle Stanley,61,10.71,24,224
169,171,Seamus Power,62,10.68,25,234
170,172,JuliÃ¡n Etulain,59,10.67,24,225
171,173,Daniel Berger,54,10.65,23,216
T172,T174,Mackenzie Hughes,62,10.55,25,237
T172,T174,Kyle Jones,51,10.55,21,199
174,176,Russell Henley,58,10.41,23,221
175,177,Ben Crane,41,10.30,17,165
T176,T178,Dylan Frittelli,57,10.22,23,225
T176,T178,Adam Long,56,10.22,23,225
178,180,Joaquin Niemann,72,10.21,29,284
179,181,Sam Burns,70,10.14,28,276
T180,T182,Sergio Garcia,43,10.00,14,140
T180,T182,Brendan Steele,54,10.00,21,210
182,185,Harris English,79,9.94,31,312
183,186,John Senden,39,9.93,15,151
184,187,Jim Herman,40,9.88,16,162
185,188,Trey Mullinax,69,9.81,26,265
186,189,Brian Harman,71,9.71,27,278
187,190,Chris Thompson,36,9.66,14,145
188,191,Tommy Fleetwood,51,9.60,17,177
189,192,Brandt Snedeker,76,9.56,28,293
T190,T193,Lucas Bjerregaard,39,9.38,12,128
T190,T193,Matt Wallace,35,9.38,12,128
T192,T195,Carlos Ortiz,66,9.30,24,258
T192,T195,Ian Poulter,51,9.30,16,172
194,197,Hunter Mahan,47,8.90,17,191
195,198,Bill Haas,58,8.64,19,220
196,199,Alex Noren,51,8.33,16,192
197,200,John Chin,40,7.45,12,161
198,201,Rafa Cabrera Bello,61,7.17,17,237
199,202,J.J. Henry,44,6.83,11,161
200,203,Rod Pampling,42,6.75,11,163
