RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
1,1,Tiger Woods,35,22.50,27,120
2,2,Cameron Champ,60,18.34,42,229
3,3,Marc Leishman,60,18.18,40,220
4,4,Andrew Putnam,65,17.72,42,237
5,5,Jon Rahm,55,17.71,34,192
6,6,Justin Thomas,55,17.65,36,204
7,7,Joel Dahmen,84,17.59,57,324
T8,T8,Jason Kokrak,70,17.54,47,268
T8,T8,Danny Lee,68,17.54,47,268
10,10,Billy Horschel,77,17.39,48,276
11,11,Aaron Wise,56,17.31,36,208
12,12,Alex Cejka,44,16.97,28,165
13,13,Emiliano Grillo,73,16.79,47,280
T14,T14,Austin Cook,52,16.75,33,197
T14,T14,Jason Day,53,16.75,32,191
16,16,Louis Oosthuizen,51,16.67,30,180
17,17,Vaughn Taylor,73,16.61,48,289
18,18,SebastiÃ¡n MuÃ±oz,60,16.60,39,235
19,19,Bryson DeChambeau,53,16.33,32,196
20,20,Michael Thompson,56,16.30,37,227
21,21,Scott Piercy,74,16.25,45,277
22,22,Shawn Stefani,60,16.23,37,228
23,23,Jordan Spieth,63,16.18,39,241
24,24,Gary Woodland,67,16.14,41,254
25,25,J.B. Holmes,58,16.10,33,205
26,26,Scott Langley,64,15.94,40,251
27,27,Rory Sabbatini,75,15.92,46,289
28,28,Patrick Cantlay,57,15.87,33,208
29,29,Kelly Kraft,69,15.85,42,265
30,30,Hideki Matsuyama,63,15.83,38,240
31,31,Ryan Palmer,56,15.79,33,209
32,32,Richy Werenski,67,15.59,41,263
33,33,Hank Lebioda,59,15.56,35,225
T34,T34,Patton Kizzire,62,15.42,37,240
T34,T34,Ben Silverman,56,15.42,35,227
T36,T36,Brooks Koepka,57,15.31,30,196
T36,T36,Rory McIlroy,54,15.31,30,196
38,38,Graeme McDowell,65,15.26,38,249
39,39,Matt Kuchar,69,15.10,37,245
40,40,Rickie Fowler,58,15.09,35,232
41,41,Patrick Rodgers,44,15.08,27,179
42,42,Matthew Fitzpatrick,46,15.03,26,173
43,43,Ryan Moore,58,14.96,35,234
44,44,Martin Laird,64,14.94,36,241
45,45,Jonas Blixt,68,14.87,40,269
46,46,Sung Kang,70,14.80,41,277
47,47,Josh Teater,51,14.72,29,197
48,48,Kevin Na,56,14.71,30,204
49,49,Russell Knox,69,14.62,37,253
50,50,Matt Every,38,14.60,20,137
T51,T51,Adam Schenk,82,14.55,47,323
T51,T51,Sepp Straka,54,14.55,31,213
53,53,Denny McCarthy,65,14.52,36,248
54,54,Adam Svensson,53,14.49,30,207
55,55,Paul Casey,59,14.48,32,221
56,56,Freddie Jacobson,41,14.47,23,159
57,57,Kyoung-Hoon Lee,78,14.43,43,298
58,58,Charley Hoffman,60,14.41,33,229
59,59,Ryan Armour,70,14.39,41,285
60,60,Hudson Swafford,59,14.35,33,230
T61,T61,Adam Hadwin,68,14.29,37,259
T61,T61,Sungjae Im,92,14.29,51,357
T61,T61,Justin Rose,46,14.29,24,168
T64,T64,Chesson Hadley,64,14.23,36,253
T64,T64,Harold Varner III,66,14.23,37,260
66,66,Brady Schnell,42,14.20,24,169
T67,T67,Peter Malnati,68,14.18,37,261
T67,T67,Chez Reavie,75,14.18,39,275
69,69,Corey Conners,62,14.16,33,233
70,70,Anirban Lahiri,58,14.09,31,220
71,71,Roberto Castro,56,14.08,30,213
T72,T72,Bronson Burgoon,41,14.02,23,164
T72,T72,Webb Simpson,57,14.02,30,214
74,74,JosÃ© de JesÃºs RodrÃ­guez,53,13.95,30,215
75,75,Pat Perez,52,13.93,28,201
76,76,Abraham Ancer,77,13.89,40,288
77,77,Keegan Bradley,71,13.78,35,254
78,T78,Jason Dufner,60,13.68,32,234
79,80,Cameron Davis,58,13.66,31,227
80,81,Peter Uihlein,67,13.64,36,264
T81,T82,Brice Garnett,65,13.55,34,251
T81,T82,Nick Watney,71,13.55,37,273
83,84,Cameron Tringale,55,13.53,28,207
84,85,Satoshi Kodaira,53,13.50,27,200
85,86,Joey Garber,46,13.45,23,171
86,87,Lucas Glover,66,13.44,34,253
87,88,Francesco Molinari,49,13.41,22,164
