RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
40,40,Nick Watney,94,18.23,177,971
41,41,Kyle Stanley,93,18.17,177,974
42,42,C.T. Pan,104,18.16,196,"1,079"
T43,T43,Matt Jones,70,18.11,123,679
T43,T43,Scott Piercy,84,18.11,159,878
T45,T45,Dominic Bozzelli,65,18.09,129,713
T45,T45,Chris Kirk,108,18.09,206,"1,139"
47,47,Martin Laird,73,18.05,126,698
48,48,J.T. Poston,73,18.03,139,771
49,49,Gary Woodland,96,17.94,181,"1,009"
T50,T50,Peter Malnati,87,17.87,161,901
T50,T50,Pat Perez,82,17.87,148,828
T50,T50,Bubba Watson,90,17.87,156,873
53,53,Adam Hadwin,92,17.81,172,966
54,54,Stewart Cink,87,17.80,170,955
55,55,Nicholas Lindheim,77,17.78,133,748
56,56,Marc Leishman,93,17.70,177,"1,000"
T57,T57,Scott Brown,102,17.69,188,"1,063"
T57,T57,Joel Dahmen,93,17.69,164,927
59,59,Brandt Snedeker,84,17.68,160,905
T60,T60,Andrew Landry,82,17.65,156,884
T60,T60,Sam Ryder,82,17.65,152,861
62,62,Patrick Cantlay,87,17.62,157,891
63,63,Corey Conners,97,17.57,178,"1,013"
64,64,Austin Cook,107,17.56,207,"1,179"
65,65,Henrik Stenson,60,17.48,108,618
66,66,Brian Gay,103,17.46,194,"1,111"
67,67,Trey Mullinax,75,17.44,131,751
68,68,Rafa Cabrera Bello,75,17.42,135,775
69,69,Beau Hossler,104,17.36,196,"1,129"
70,70,Russell Henley,77,17.34,142,819
71,71,Ben Silverman,90,17.27,157,909
72,72,Kiradech Aphibarnrat,51,17.25,89,516
T73,T73,Emiliano Grillo,94,17.23,174,"1,010"
T73,T73,Jamie Lovemark,92,17.23,163,946
T73,T73,Chris Stroud,81,17.23,137,795
76,76,Lanto Griffin,80,17.22,139,807
T77,T77,Mackenzie Hughes,80,17.21,142,825
T77,T77,Peter Uihlein,83,17.21,147,854
79,79,Xander Schauffele,96,17.18,178,"1,036"
80,80,Troy Merritt,89,17.16,157,915
81,81,Charley Hoffman,87,17.14,150,875
82,82,Luke List,98,17.12,177,"1,034"
83,83,Anirban Lahiri,82,17.11,155,906
T84,T84,Russell Knox,94,17.09,168,983
T84,T84,Cameron Smith,85,17.09,147,860
86,86,Vaughn Taylor,83,17.07,149,873
87,87,Matt Kuchar,88,17.03,147,863
88,88,Sam Saunders,80,17.02,138,811
89,89,Ben Martin,64,16.98,117,689
90,90,Aaron Baddeley,84,16.96,143,843
T91,T91,J.B. Holmes,77,16.94,136,803
T91,T91,John Huh,94,16.94,166,980
T91,T91,Cameron Percy,56,16.94,92,543
T91,T91,Hudson Swafford,73,16.94,122,720
T95,T95,David Hearn,66,16.85,109,647
T95,T95,Billy Horschel,86,16.85,151,896
97,97,Ryan Moore,78,16.82,144,856
98,98,Johnson Wagner,75,16.78,124,739
T99,T99,Byeong Hun An,86,16.77,156,930
T99,T99,Paul Casey,74,16.77,131,781
101,101,Blayne Barber,69,16.76,124,740
102,102,"Ted Potter, Jr.",87,16.75,160,955
103,103,Jason Kokrak,99,16.71,180,"1,077"
T104,T104,Ben Crane,65,16.69,106,635
T104,T104,Branden Grace,67,16.69,114,683
106,106,Patrick Rodgers,97,16.68,167,"1,001"
T107,T107,Abraham Ancer,98,16.67,174,"1,044"
T107,T107,Tyrrell Hatton,58,16.67,101,606
T107,T107,Rory Sabbatini,91,16.67,160,960
T107,T107,Brendan Steele,74,16.67,123,738
111,111,Jimmy Walker,81,16.65,139,835
112,112,Brett Stegmaier,67,16.59,109,657
113,113,Andrew Putnam,97,16.55,160,967
114,114,Kelly Kraft,94,16.52,165,999
115,115,Bronson Burgoon,69,16.51,125,757
T116,T116,Cody Gribble,71,16.50,115,697
T116,T116,Patton Kizzire,92,16.50,164,994
118,118,Matt Atkins,56,16.46,91,553
119,119,Roberto DÃ­az,72,16.44,123,748
T120,T120,Ian Poulter,73,16.43,114,694
T120,T120,Kevin Tway,110,16.43,184,"1,120"
T122,T122,Brian Stuard,103,16.41,172,"1,048"
T122,T122,Michael Thompson,62,16.41,105,640
124,124,Kyle Thompson,50,16.16,80,495
125,125,Charles Howell III,104,16.15,176,"1,090"
T126,T126,Wesley Bryan,69,16.12,118,732
T126,T126,Adam Scott,78,16.12,137,850
128,128,Jason Dufner,71,16.10,114,708
129,129,Tyler Duncan,97,16.08,164,"1,020"
130,130,Richy Werenski,98,16.05,160,997
131,131,Ethan Tracy,72,16.01,117,731
132,132,Ryan Armour,109,16.00,188,"1,175"
133,133,Harris English,84,15.96,135,846
T134,T134,Ricky Barnes,65,15.92,100,628
T134,T134,Daniel Berger,81,15.92,135,848
136,136,Michael Kim,74,15.89,122,768
137,137,Keegan Bradley,98,15.86,161,"1,015"
138,138,Derek Fathauer,84,15.84,138,871
139,139,D.A. Points,63,15.83,104,657
140,140,Brice Garnett,99,15.77,162,"1,027"
141,141,Xinjun Zhang,81,15.74,128,813
142,142,Alex Noren,67,15.72,105,668
143,143,Kevin Streelman,94,15.70,155,987
T144,T144,Kevin Kisner,89,15.66,137,875
T144,T144,Scott Stallings,96,15.66,153,977
146,146,Matt Every,79,15.63,125,800
T147,T147,Seamus Power,86,15.62,132,845
T147,T147,Steve Wheatcroft,60,15.62,97,621
T149,T149,Sean O'Hair,67,15.54,103,663
T149,T149,Rod Pampling,62,15.54,94,605
T151,T151,James Hahn,85,15.52,137,883
T151,T151,Billy Hurley III,70,15.52,108,696
153,153,Martin Flores,92,15.47,144,931
154,154,Zac Blair,64,15.46,96,621
155,155,Bud Cauley,55,15.45,85,550
156,156,Si Woo Kim,108,15.34,174,"1,134"
157,157,Rob Oppenheim,74,15.32,112,731
158,158,Robert Streb,78,15.31,122,797
159,159,Daniel Summerhays,51,15.16,72,475
T160,T160,Sung Kang,89,15.14,139,918
T160,T160,Denny McCarthy,71,15.14,104,687
162,162,Alex Cejka,77,15.01,112,746
163,163,Louis Oosthuizen,62,14.95,90,602
164,164,Graeme McDowell,67,14.94,94,629
165,165,Cameron Tringale,67,14.92,101,677
166,166,Jonathan Byrd,70,14.90,100,671
167,167,Nate Lashley,51,14.65,74,505
168,168,FabiÃ¡n GÃ³mez,88,14.62,133,910
T169,T169,Lucas Glover,65,14.60,92,630
T169,T169,J.J. Henry,81,14.60,118,808
T171,T171,Jonathan Randolph,71,14.55,103,708
T171,T171,Shawn Stefani,76,14.55,116,797
173,173,Tyrone Van Aswegen,101,14.54,146,"1,004"
174,174,Stephan Jaeger,81,14.53,117,805
175,175,Adam Schenk,86,14.52,125,861
176,176,Conrad Shindler,60,14.40,88,611
177,177,Martin Piller,79,14.39,119,827
178,178,Charl Schwartzel,65,14.38,90,626
179,179,William McGirt,84,14.37,122,849
180,180,Chad Campbell,87,14.32,122,852
181,181,Satoshi Kodaira,51,14.29,78,546
T182,T182,Shane Lowry,64,14.26,86,603
T182,T182,Jhonattan Vegas,92,14.26,138,968
184,184,Nick Taylor,94,14.12,136,963
185,185,Harold Varner III,91,13.90,134,964
186,186,Talor Gooch,78,13.88,108,778
187,187,Andrew Yun,51,13.87,67,483
188,188,Zecheng Dou,53,13.79,72,522
189,189,Retief Goosen,60,13.60,77,566
190,190,Jonas Blixt,67,13.57,90,663
191,191,Bill Haas,76,13.23,106,801
192,192,Jim Furyk,50,12.92,69,534
193,193,Greg Chalmers,56,12.79,71,555
