RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,1,Dustin Johnson,77,22.52,184,817
2,2,Justin Rose,70,21.17,152,718
3,3,Aaron Wise,90,20.54,197,959
4,4,Justin Thomas,91,20.48,188,918
5,5,Jon Rahm,71,20.08,146,727
6,6,Phil Mickelson,90,20.06,192,957
7,7,Tommy Fleetwood,73,20.05,148,738
8,8,Brooks Koepka,64,19.80,141,712
9,9,Rory McIlroy,64,19.77,135,683
10,10,Jason Day,75,19.60,146,745
11,11,Tiger Woods,68,19.50,147,754
T12,T12,Tony Finau,105,19.42,209,"1,076"
T12,T12,Zach Johnson,94,19.42,186,958
14,14,Hideki Matsuyama,75,19.40,154,794
15,15,Bryson DeChambeau,93,19.26,198,"1,028"
16,16,Brian Harman,94,19.15,193,"1,008"
17,17,Ollie Schniederjans,91,19.05,181,950
18,18,Ryan Palmer,69,18.92,130,687
19,19,Tom Lovelady,87,18.86,165,875
20,20,Hunter Mahan,67,18.85,125,663
21,21,Ryan Blaum,81,18.83,161,855
22,22,Kevin Na,91,18.82,179,951
23,23,Jordan Spieth,81,18.77,159,847
24,24,Webb Simpson,95,18.73,194,"1,036"
25,25,Robert Garrigus,80,18.67,151,809
26,26,Patrick Reed,94,18.65,174,933
27,27,Brandon Harkins,101,18.62,192,"1,031"
28,28,Chez Reavie,93,18.58,173,931
29,29,David Lingmerth,82,18.57,156,840
T30,T30,Whee Kim,93,18.53,176,950
T30,T30,Danny Lee,88,18.53,171,923
32,32,Rickie Fowler,74,18.51,154,832
33,33,Grayson Murray,72,18.46,139,753
34,34,Keith Mitchell,99,18.41,195,"1,059"
35,35,Francesco Molinari,73,18.37,144,784
36,36,Kevin Chappell,77,18.36,150,817
37,37,Tom Hoge,101,18.35,185,"1,008"
38,38,J.J. Spaun,85,18.26,160,876
39,39,Chesson Hadley,103,18.25,196,"1,074"
