RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,1,Henrik Stenson,16,1.96,110,56
2,2,Rickie Fowler,20,1.99,147,74
3,3,Webb Simpson,26,2.02,186,92
4,4,Dustin Johnson,20,2.04,151,74
5,5,Brooks Koepka,17,2.11,131,62
6,6,Johnson Wagner,21,2.12,146,69
7,7,Kevin Streelman,27,2.14,197,92
8,8,Justin Thomas,23,2.17,178,82
9,9,Justin Rose,18,2.21,146,66
10,10,Jordan Spieth,23,2.22,169,76
11,11,Tiger Woods,18,2.25,153,68
T12,T12,Hideki Matsuyama,21,2.26,163,72
T12,T12,Ryan Moore,22,2.26,176,78
14,14,Chris Kirk,29,2.27,241,106
T15,T15,Chez Reavie,28,2.28,196,86
T15,T15,Sam Ryder,26,2.28,182,80
T17,T17,Billy Horschel,27,2.29,188,82
T17,T17,William McGirt,26,2.29,179,78
T19,T19,Beau Hossler,28,2.30,239,104
T19,T19,Matt Kuchar,24,2.30,184,80
T21,T21,Joel Dahmen,28,2.31,196,85
T21,T21,Rory McIlroy,18,2.31,141,61
23,23,Byeong Hun An,24,2.32,195,84
T24,T24,Charles Howell III,28,2.33,233,100
T24,T24,Zach Johnson,25,2.33,203,87
T24,T24,Andrew Putnam,28,2.33,207,89
T27,T27,Zac Blair,20,2.34,136,58
T27,T27,Emiliano Grillo,25,2.34,215,92
T29,T29,Tony Finau,28,2.35,230,98
T29,T29,Tyrrell Hatton,16,2.35,127,54
T29,T29,C.T. Pan,30,2.35,230,98
32,32,Steve Wheatcroft,20,2.36,137,58
33,33,Nate Lashley,17,2.38,112,47
T34,T34,Kevin Kisner,25,2.40,187,78
T34,T34,Cameron Percy,16,2.40,120,50
T36,T36,Abraham Ancer,30,2.41,231,96
T36,T36,Hunter Mahan,21,2.41,152,63
T36,T36,Denny McCarthy,22,2.41,152,63
T36,T36,Seamus Power,28,2.41,188,78
T40,T40,Patton Kizzire,29,2.42,215,89
T40,T40,Danny Lee,30,2.42,208,86
T40,T40,Kevin Na,26,2.42,208,86
T43,T43,FabiÃ¡n GÃ³mez,28,2.43,204,84
T43,T43,Michael Thompson,19,2.43,141,58
T45,T45,Jonathan Byrd,24,2.44,151,62
T45,T45,Paul Casey,20,2.44,173,71
T45,T45,Bryson DeChambeau,26,2.44,227,93
48,48,Alex Noren,18,2.45,147,60
T49,T49,Alex Cejka,24,2.46,170,69
T49,T49,Ben Crane,21,2.46,145,59
T49,T49,Francesco Molinari,20,2.46,172,70
T49,T49,Brett Stegmaier,21,2.46,150,61
T53,T53,Austin Cook,29,2.47,264,107
T53,T53,Jason Day,20,2.47,168,68
T53,T53,Russell Knox,27,2.47,222,90
T53,T53,Rory Sabbatini,27,2.47,220,89
T57,T57,J.T. Poston,22,2.48,176,71
T57,T57,Conrad Shindler,20,2.48,139,56
T57,T57,Brian Stuard,32,2.48,241,97
T60,T60,Brian Gay,30,2.49,251,101
T60,T60,James Hahn,26,2.49,204,82
T60,T60,Phil Mickelson,24,2.49,217,87
T60,T60,Keith Mitchell,29,2.49,242,97
