RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,1,Dustin Johnson,77,2.16,363,168
2,2,Justin Rose,70,1.95,302,155
3,3,Justin Thomas,91,1.81,373,206
4,4,Rickie Fowler,74,1.79,303,169
T5,T5,Jordan Spieth,81,1.70,323,190
T5,T5,Henrik Stenson,60,1.70,209,123
T7,T7,Brooks Koepka,64,1.69,269,159
T7,T7,Webb Simpson,95,1.69,348,206
9,9,Tony Finau,105,1.64,421,256
10,10,Johnson Wagner,75,1.63,259,159
11,11,Tiger Woods,68,1.62,280,173
12,12,Bryson DeChambeau,93,1.61,404,251
T13,T13,Billy Horschel,86,1.60,329,205
T13,T13,Jon Rahm,71,1.60,300,188
T15,T15,Jason Day,75,1.59,289,182
T15,T15,Hideki Matsuyama,75,1.59,298,187
17,17,Rory McIlroy,64,1.58,253,160
T18,T18,Zach Johnson,94,1.56,344,220
T18,T18,Chris Kirk,108,1.56,410,263
T20,T20,Tommy Fleetwood,73,1.55,294,190
T20,T20,Kevin Streelman,94,1.55,332,214
22,22,Emiliano Grillo,94,1.51,361,239
23,23,Joel Dahmen,93,1.50,326,217
T24,T24,Phil Mickelson,90,1.49,387,259
T24,T24,Ryan Moore,78,1.49,280,188
T24,T24,Kevin Na,91,1.49,346,232
T24,T24,Sam Ryder,82,1.49,314,211
T28,T28,Beau Hossler,104,1.47,404,275
T28,T28,Chez Reavie,93,1.47,326,222
T30,T30,Hunter Mahan,67,1.46,244,167
T30,T30,Cameron Percy,56,1.46,196,134
32,32,C.T. Pan,104,1.45,378,260
T33,T33,Patrick Cantlay,87,1.44,315,218
T33,T33,Austin Cook,107,1.44,423,294
T33,T33,Brian Gay,103,1.44,393,272
T33,T33,Charles Howell III,104,1.44,362,252
T33,T33,Jason Kokrak,99,1.44,398,276
T33,T33,Francesco Molinari,73,1.44,269,187
T33,T33,Andrew Putnam,97,1.44,328,227
T40,T40,Paul Casey,74,1.42,275,193
T40,T40,Matt Kuchar,88,1.42,290,204
T42,T42,Rafa Cabrera Bello,75,1.41,275,195
T42,T42,Chesson Hadley,103,1.41,403,285
T42,T42,Keith Mitchell,99,1.41,406,287
T42,T42,Aaron Wise,90,1.41,368,261
46,46,Patrick Reed,94,1.40,334,239
T47,T47,Byeong Hun An,86,1.39,315,226
T47,T47,Abraham Ancer,98,1.39,354,255
T47,T47,Zac Blair,64,1.39,211,152
T47,T47,Marc Leishman,93,1.39,364,261
T47,T47,Rory Sabbatini,91,1.39,344,247
52,52,J.J. Spaun,85,1.38,313,227
T53,T53,Luke List,98,1.37,375,273
T53,T53,J.T. Poston,73,1.37,272,198
T53,T53,Kyle Stanley,93,1.37,341,249
T53,T53,Brett Stegmaier,67,1.37,237,173
T57,T57,Blayne Barber,69,1.36,257,189
T57,T57,Seamus Power,86,1.36,288,211
T57,T57,Michael Thompson,62,1.36,217,160
T57,T57,Bubba Watson,90,1.36,308,226
T61,T61,Keegan Bradley,98,1.35,354,262
T61,T61,Bronson Burgoon,69,1.35,272,201
T61,T61,Patton Kizzire,92,1.35,343,255
T61,T61,Danny Lee,88,1.35,336,248
T65,T65,Ryan Armour,109,1.34,398,297
T65,T65,Martin Laird,73,1.34,260,194
T65,T65,Jamie Lovemark,92,1.34,339,253
T65,T65,Denny McCarthy,71,1.34,224,167
T65,T65,Brandt Snedeker,84,1.34,307,229
T65,T65,Vaughn Taylor,83,1.34,312,233
T65,T65,Gary Woodland,96,1.34,360,269
T72,T72,James Hahn,85,1.33,304,229
T72,T72,William McGirt,84,1.33,264,199
T74,T74,Nate Lashley,51,1.32,165,125
T74,T74,Peter Malnati,87,1.32,314,237
T74,T74,Cameron Smith,85,1.32,295,224
T74,T74,Kevin Tway,110,1.32,403,305
T74,T74,Nick Watney,94,1.32,337,255
T79,T79,Alex Cejka,77,1.31,245,187
T79,T79,Alex Noren,67,1.31,213,163
T81,T81,Ricky Barnes,65,1.30,245,188
T81,T81,Corey Conners,97,1.30,350,269
T81,T81,Adam Hadwin,92,1.30,326,250
T81,T81,John Huh,94,1.30,345,265
T81,T81,Russell Knox,94,1.30,322,247
T81,T81,Pat Perez,82,1.30,291,223
T87,T87,Stewart Cink,87,1.29,329,255
T87,T87,Ben Crane,65,1.29,207,160
T87,T87,Brandon Harkins,101,1.29,388,301
T87,T87,Matt Jones,70,1.29,233,181
T87,T87,Kevin Kisner,89,1.29,277,214
T87,T87,Ian Poulter,73,1.29,241,187
T87,T87,Sam Saunders,80,1.29,301,233
T94,T94,Branden Grace,67,1.28,242,189
T94,T94,Tyrrell Hatton,58,1.28,185,144
T94,T94,Xander Schauffele,96,1.28,361,281
T94,T94,Adam Scott,78,1.28,299,234
T94,T94,Scott Stallings,96,1.28,322,252
T94,T94,Shawn Stefani,76,1.28,276,215
T94,T94,Steve Wheatcroft,60,1.28,204,159
T101,T101,Jonathan Byrd,70,1.27,223,176
T101,T101,Russell Henley,77,1.27,278,219
T101,T101,Nick Taylor,94,1.27,315,248
T104,T104,Daniel Berger,81,1.26,276,219
T104,T104,FabiÃ¡n GÃ³mez,88,1.26,293,232
T104,T104,Scott Piercy,84,1.26,298,237
T104,T104,Brian Stuard,103,1.26,335,265
T104,T104,Peter Uihlein,83,1.26,294,233
T109,T109,Brian Harman,94,1.25,342,273
T109,T109,David Hearn,66,1.25,223,179
T109,T109,Tom Hoge,101,1.25,361,288
T109,T109,Troy Merritt,89,1.25,325,260
T109,T109,Ryan Palmer,69,1.25,256,204
T109,T109,Patrick Rodgers,97,1.25,350,281
T109,T109,Conrad Shindler,60,1.25,202,161
T116,T116,Lanto Griffin,80,1.24,287,232
T116,T116,David Lingmerth,82,1.24,300,241
T116,T116,Ben Silverman,90,1.24,315,255
119,119,Ollie Schniederjans,91,1.23,346,281
T120,T120,Brice Garnett,99,1.22,338,277
T120,T120,Tom Lovelady,87,1.22,326,268
T120,T120,Trey Mullinax,75,1.22,269,221
T120,T120,Louis Oosthuizen,62,1.22,187,153
T124,T124,Ryan Blaum,81,1.21,304,252
T124,T124,Kevin Chappell,77,1.21,287,238
T124,T124,Lucas Glover,65,1.21,217,180
T124,T124,Charley Hoffman,87,1.21,293,242
T124,T124,J.B. Holmes,77,1.21,280,231
T124,T124,Andrew Landry,82,1.21,288,238
T124,T124,Nicholas Lindheim,77,1.21,255,211
T124,T124,Ben Martin,64,1.21,233,193
T132,T132,Bud Cauley,55,1.20,195,163
T132,T132,Whee Kim,93,1.20,332,276
T132,T132,Harold Varner III,91,1.20,317,264
T135,T135,Anirban Lahiri,82,1.19,297,250
T135,T135,Jimmy Walker,81,1.19,285,239
T137,T137,Aaron Baddeley,84,1.18,269,228
T137,T137,Harris English,84,1.18,290,245
T137,T137,Robert Garrigus,80,1.18,291,247
T137,T137,Stephan Jaeger,81,1.18,263,223
