RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
T137,T137,Hudson Swafford,73,1.18,253,215
T137,T137,Richy Werenski,98,1.18,325,275
T143,T143,Scott Brown,102,1.17,357,304
T143,T143,Mackenzie Hughes,80,1.17,282,242
T143,T143,Xinjun Zhang,81,1.17,274,235
T146,T146,Shane Lowry,64,1.16,198,171
T146,T146,Rob Oppenheim,74,1.16,242,209
T146,T146,Tyrone Van Aswegen,101,1.16,323,278
T149,T149,Si Woo Kim,108,1.15,378,330
T149,T149,Chris Stroud,81,1.15,261,226
T151,T151,Tyler Duncan,97,1.14,336,296
T151,T151,Talor Gooch,78,1.14,252,221
T153,T153,Martin Flores,92,1.13,314,278
T153,T153,J.J. Henry,81,1.13,245,216
T153,T153,Graeme McDowell,67,1.13,201,178
T153,T153,Sean O'Hair,67,1.13,221,195
T157,T157,Dominic Bozzelli,65,1.12,237,211
T157,T157,Wesley Bryan,69,1.12,232,208
T157,T157,Brendan Steele,74,1.12,240,214
T157,T157,Jhonattan Vegas,92,1.12,312,279
T161,T161,Grayson Murray,72,1.11,293,264
T161,T161,Adam Schenk,86,1.11,270,243
T163,T163,Bill Haas,76,1.10,233,211
T163,T163,"Ted Potter, Jr.",87,1.10,318,289
T165,T165,Jim Furyk,50,1.09,152,139
T165,T165,Kelly Kraft,94,1.09,312,285
T167,T167,Matt Atkins,56,1.07,187,175
T167,T167,Jason Dufner,71,1.07,219,204
169,169,Ethan Tracy,72,1.04,237,228
170,170,Martin Piller,79,1.03,273,265
T171,T171,Kiradech Aphibarnrat,51,1.02,166,163
T171,T171,Roberto DÃ­az,72,1.02,220,216
T171,T171,Cody Gribble,71,1.02,234,229
T171,T171,Michael Kim,74,1.02,247,243
T175,T175,Matt Every,79,1.01,272,270
T175,T175,Derek Fathauer,84,1.01,284,282
T175,T175,Sung Kang,89,1.01,299,295
T178,T178,Chad Campbell,87,1.00,250,251
T178,T178,Cameron Tringale,67,1.00,209,210
180,180,Robert Streb,78,.99,248,251
181,181,Charl Schwartzel,65,.98,193,197
T182,T182,Billy Hurley III,70,.97,215,221
T182,T182,Jonathan Randolph,71,.97,210,217
184,184,Retief Goosen,60,.96,170,177
185,185,Jonas Blixt,67,.95,198,208
186,186,Rod Pampling,62,.94,186,197
187,187,Kyle Thompson,50,.88,150,171
188,188,Daniel Summerhays,51,.87,147,169
189,189,D.A. Points,63,.84,196,233
T190,T190,Greg Chalmers,56,.83,165,200
T190,T190,Zecheng Dou,53,.83,157,190
192,192,Satoshi Kodaira,51,.73,150,206
193,193,Andrew Yun,51,.72,142,197
