RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
T1,T1,Jonas Blixt,68,4,709,3
T1,T1,Paul Casey,59,4,587,2
T1,T1,Tyler Duncan,70,4,731,3
T1,T1,Rickie Fowler,58,4,624,2
T5,T5,Roberto DÃ­az,55,3,539,3
T5,T5,Jason Day,53,3,505,2
T5,T5,Danny Lee,68,3,720,2
T5,T5,Chez Reavie,75,3,731,3
T9,T9,Sam Burns,70,2,732,1
T9,T9,Rafa Cabrera Bello,61,2,603,1
T9,T9,Patrick Cantlay,57,2,556,1
T9,T9,Tommy Fleetwood,51,2,471,1
T9,T9,Dylan Frittelli,57,2,585,2
T9,T9,Chesson Hadley,64,2,657,1
T9,T9,Charles Howell III,68,2,695,1
T9,T9,Sungjae Im,92,2,942,1
T9,T9,Patton Kizzire,62,2,646,2
T9,T9,Adam Long,56,2,603,2
T9,T9,Rory McIlroy,54,2,536,1
T9,T9,Keith Mitchell,66,2,673,
T9,T9,Louis Oosthuizen,51,2,462,2
T9,T9,Ollie Schniederjans,67,2,697,1
T9,T9,Adam Scott,45,2,453,1
T9,T9,Webb Simpson,57,2,596,1
T9,T9,Roger Sloan,64,2,688,1
T9,T9,Shawn Stefani,60,2,596,2
T9,T9,Kevin Streelman,67,2,691,2
T9,T9,Chris Thompson,36,2,381,1
T9,T9,Peter Uihlein,67,2,691,1
T9,T9,Jhonattan Vegas,62,2,640,1
T9,T9,Nick Watney,71,2,715,1
T32,T32,Byeong Hun An,60,1,611,
T32,T32,Abraham Ancer,77,1,780,
T32,T32,Aaron Baddeley,55,1,577,1
T32,T32,Dominic Bozzelli,55,1,575,
T32,T32,Keegan Bradley,71,1,690,1
T32,T32,Scott Brown,70,1,717,1
T32,T32,Austin Cook,52,1,511,
T32,T32,Ernie Els,45,1,459,
T32,T32,Harris English,79,1,830,
T32,T32,JuliÃ¡n Etulain,59,1,581,1
T32,T32,Matthew Fitzpatrick,46,1,457,
T32,T32,Joey Garber,46,1,447,
T32,T32,Brice Garnett,65,1,679,1
T32,T32,Lucas Glover,66,1,655,
T32,T32,Emiliano Grillo,73,1,756,
T32,T32,Bill Haas,58,1,577,
T32,T32,Adam Hadwin,68,1,685,1
T32,T32,David Hearn,41,1,389,1
T32,T32,Russell Henley,58,1,583,1
T32,T32,J.J. Henry,44,1,431,
T32,T32,Kramer Hickok,63,1,675,1
T32,T32,Max Homa,63,1,657,1
T32,T32,Beau Hossler,69,1,733,1
T32,T32,Freddie Jacobson,41,1,421,
T32,T32,Dustin Johnson,51,1,511,
T32,T32,Matt Jones,72,1,721,
T32,T32,Kyle Jones,51,1,523,1
T32,T32,Si Woo Kim,69,1,673,1
T32,T32,Michael Kim,53,1,539,
T32,T32,Kevin Kisner,73,1,663,1
T32,T32,Brooks Koepka,57,1,548,
T32,T32,Hank Lebioda,59,1,589,1
T32,T32,Kyoung-Hoon Lee,78,1,791,1
T32,T32,Haotong Li,36,1,336,1
T32,T32,Peter Malnati,68,1,692,1
T32,T32,Phil Mickelson,47,1,467,
T32,T32,Francesco Molinari,49,1,458,
T32,T32,Ryan Moore,58,1,610,1
T32,T32,Grayson Murray,36,1,374,
T32,T32,Kevin Na,56,1,546,1
T32,T32,Alex Noren,51,1,518,
T32,T32,Ryan Palmer,56,1,563,
T32,T32,Rod Pampling,42,1,429,1
T32,T32,C.T. Pan,70,1,724,1
T32,T32,J.T. Poston,78,1,794,
T32,T32,Andrew Putnam,65,1,645,1
T32,T32,Patrick Reed,61,1,597,1
T32,T32,Seth Reeves,56,1,579,1
T32,T32,Patrick Rodgers,44,1,467,1
T32,T32,Justin Rose,46,1,444,1
T32,T32,Sam Ryder,56,1,588,1
T32,T32,Rory Sabbatini,75,1,753,
T32,T32,Xander Schauffele,59,1,596,1
T32,T32,Adam Schenk,82,1,851,1
T32,T32,Brady Schnell,42,1,449,1
T32,T32,J.J. Spaun,72,1,731,1
T32,T32,Kyle Stanley,61,1,600,
T32,T32,Sepp Straka,54,1,547,1
T32,T32,Robert Streb,64,1,642,1
T32,T32,Brian Stuard,82,1,829,1
T32,T32,Adam Svensson,53,1,541,1
T32,T32,Nick Taylor,77,1,781,
T32,T32,Martin Trainer,53,1,558,
T32,T32,Kevin Tway,66,1,674,
T32,T32,Harold Varner III,66,1,692,1
T32,T32,Matt Wallace,35,1,346,
T32,T32,Richy Werenski,67,1,699,1
T32,T32,Gary Woodland,67,1,687,
