RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
T66,T66,Rob Oppenheim,74,6,220,2
T66,T66,C.T. Pan,104,6,291,3
T66,T66,Jon Rahm,71,6,202,1
T66,T66,Xander Schauffele,96,6,274,1
T66,T66,Brendan Steele,74,6,208,
T66,T66,Tiger Woods,68,6,198,2
T87,T87,Abraham Ancer,98,5,298,
T87,T87,Jonas Blixt,67,5,196,
T87,T87,Dominic Bozzelli,65,5,192,2
T87,T87,Jonathan Byrd,70,5,196,
T87,T87,Alex Cejka,77,5,215,
T87,T87,Joel Dahmen,93,5,262,1
T87,T87,Jason Day,75,5,210,2
T87,T87,Brice Garnett,99,5,298,1
T87,T87,Brian Gay,103,5,300,
T87,T87,Adam Hadwin,92,5,284,1
T87,T87,Brian Harman,94,5,258,
T87,T87,David Hearn,66,5,192,
T87,T87,Russell Henley,77,5,222,
T87,T87,Billy Hurley III,70,5,197,1
T87,T87,Stephan Jaeger,81,5,240,1
T87,T87,Si Woo Kim,108,5,326,3
T87,T87,Satoshi Kodaira,51,5,130,2
T87,T87,Andrew Landry,82,5,238,2
T87,T87,Danny Lee,88,5,279,1
T87,T87,Jamie Lovemark,92,5,282,
T87,T87,Francesco Molinari,73,5,200,
T87,T87,Alex Noren,67,5,176,1
T87,T87,Sean O'Hair,67,5,214,
T87,T87,Patrick Rodgers,97,5,296,
T87,T87,Adam Schenk,86,5,254,2
T87,T87,Adam Scott,78,5,241,1
T87,T87,Jordan Spieth,81,5,222,2
T87,T87,Scott Stallings,96,5,278,1
T87,T87,Shawn Stefani,76,5,238,2
T87,T87,Brett Stegmaier,67,5,196,
T87,T87,Henrik Stenson,60,5,168,
T87,T87,Cameron Tringale,67,5,204,1
T87,T87,Johnson Wagner,75,5,226,3
T87,T87,Nick Watney,94,5,284,1
T87,T87,Aaron Wise,90,5,268,
T122,T122,Kiradech Aphibarnrat,51,4,132,1
T122,T122,Ricky Barnes,65,4,197,1
T122,T122,Corey Conners,97,4,284,2
T122,T122,Austin Cook,107,4,322,1
T122,T122,Ben Crane,65,4,190,1
T122,T122,Roberto DÃ­az,72,4,203,2
T122,T122,Robert Garrigus,80,4,250,1
T122,T122,Lucas Glover,65,4,220,1
T122,T122,Mackenzie Hughes,80,4,236,1
T122,T122,Patton Kizzire,92,4,258,1
T122,T122,Matt Kuchar,88,4,256,1
T122,T122,Luke List,98,4,296,2
T122,T122,William McGirt,84,4,238,2
T122,T122,Trey Mullinax,75,4,210,1
T122,T122,Scott Piercy,84,4,241,1
T122,T122,Seamus Power,86,4,244,2
T122,T122,Chez Reavie,93,4,272,1
T122,T122,Ollie Schniederjans,91,4,264,1
T122,T122,Ben Silverman,90,4,264,1
T122,T122,J.J. Spaun,85,4,230,
T122,T122,Kyle Stanley,93,4,266,
T122,T122,Chris Stroud,81,4,230,2
T122,T122,Nick Taylor,94,4,294,1
T122,T122,Tyrone Van Aswegen,101,4,293,1
T122,T122,Jimmy Walker,81,4,240,
T147,T147,Matt Atkins,56,3,174,1
T147,T147,Scott Brown,102,3,304,
T147,T147,Zecheng Dou,53,3,161,1
T147,T147,Jason Dufner,71,3,194,1
T147,T147,Retief Goosen,60,3,162,1
T147,T147,Emiliano Grillo,94,3,280,1
T147,T147,Tyrrell Hatton,58,3,154,
T147,T147,Anirban Lahiri,82,3,244,
T147,T147,Nate Lashley,51,3,152,
T147,T147,David Lingmerth,82,3,248,1
T147,T147,Shane Lowry,64,3,178,
T147,T147,Graeme McDowell,67,3,192,
T147,T147,Martin Piller,79,3,248,1
T147,T147,Andrew Putnam,97,3,276,1
T147,T147,Jonathan Randolph,71,3,199,1
T147,T147,Sam Saunders,80,3,220,
T147,T147,Charl Schwartzel,65,3,184,
T147,T147,Robert Streb,78,3,236,
T147,T147,Brian Stuard,103,3,307,1
T147,T147,Vaughn Taylor,83,3,232,1
T147,T147,Steve Wheatcroft,60,3,190,1
T168,T168,Blayne Barber,69,2,194,
T168,T168,Zac Blair,64,2,190,
T168,T168,Martin Flores,92,2,269,
T168,T168,Cody Gribble,71,2,212,1
T168,T168,J.J. Henry,81,2,237,
T168,T168,Hunter Mahan,67,2,218,
T168,T168,Peter Malnati,87,2,258,
T168,T168,Ben Martin,64,2,202,2
T168,T168,Denny McCarthy,71,2,194,
T168,T168,Louis Oosthuizen,62,2,154,
T168,T168,Pat Perez,82,2,229,
T168,T168,J.T. Poston,73,2,222,1
T168,T168,"Ted Potter, Jr.",87,2,260,1
T168,T168,Justin Rose,70,2,206,1
T168,T168,Kevin Streelman,94,2,298,1
T183,T183,Wesley Bryan,69,1,210,
T183,T183,Bud Cauley,55,1,190,1
T183,T183,Jim Furyk,50,1,134,
T183,T183,Nicholas Lindheim,77,1,215,
T183,T183,Rod Pampling,62,1,202,
T183,T183,Ian Poulter,73,1,202,
T183,T183,Daniel Summerhays,51,1,154,
T183,T183,Michael Thompson,62,1,172,1
T183,T183,Andrew Yun,51,1,146,
