RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
145,148,Ben Crane,41,41.35,55,133
146,149,Kelly Kraft,69,41.26,85,206
147,150,Brice Garnett,65,41.18,84,204
148,151,Jason Kokrak,70,41.07,92,224
149,152,Kevin Kisner,73,41.00,82,200
150,153,Tyrrell Hatton,50,40.91,63,154
151,154,Carlos Ortiz,66,40.87,85,208
152,155,Tyler Duncan,70,40.83,89,218
153,156,Corey Conners,62,40.63,78,192
154,157,Ben Silverman,56,40.45,72,178
155,158,John Senden,39,40.44,55,136
156,159,Chesson Hadley,64,40.29,83,206
157,160,Hunter Mahan,47,40.24,66,164
158,161,Freddie Jacobson,41,40.16,49,122
159,162,Jonas Blixt,68,40.00,84,210
160,163,Patton Kizzire,62,39.69,77,194
161,164,Charley Hoffman,60,39.58,76,192
162,165,Jonathan Byrd,43,39.44,56,142
163,166,Brian Harman,71,39.25,84,214
164,167,Phil Mickelson,47,39.19,58,148
165,168,Chris Stroud,56,38.86,68,175
166,169,Chase Wright,55,38.79,64,165
167,170,Ernie Els,45,38.73,55,142
168,171,Jason Dufner,60,38.71,72,186
T169,T172,Whee Kim,59,38.67,70,181
T169,T172,Louis Oosthuizen,51,38.67,58,150
171,174,Anders Albertson,50,38.61,61,158
172,175,Billy Horschel,77,38.56,91,236
173,176,Jim Herman,40,38.10,48,126
174,177,Shawn Stefani,60,38.04,70,184
175,178,Tom Hoge,77,37.71,89,236
T176,T179,Andrew Landry,60,37.63,70,186
T176,T179,Scott Langley,64,37.63,73,194
178,181,Ryan Armour,70,37.50,84,224
179,182,"Ted Potter, Jr.",56,37.36,68,182
180,183,Francesco Molinari,49,37.31,50,134
181,184,Curtis Luck,53,37.06,63,170
182,185,FabiÃ¡n GÃ³mez,46,37.01,57,154
183,186,Russell Henley,58,36.90,62,168
T184,T187,Roberto Castro,56,36.63,63,172
T184,T187,Anirban Lahiri,58,36.63,63,172
186,189,Joaquin Niemann,72,36.36,80,220
187,190,Adam Long,56,36.11,65,180
188,191,Brian Stuard,82,35.27,91,258
189,192,J.B. Holmes,58,35.03,62,177
190,193,Kyle Jones,51,35.00,56,160
191,194,Satoshi Kodaira,53,34.94,58,166
192,195,Alex Cejka,44,34.56,47,136
193,196,John Huh,35,33.62,39,116
194,197,Chris Thompson,36,33.61,41,122
195,198,Michael Kim,53,33.52,59,176
T196,T199,Joey Garber,46,33.33,46,138
T196,T199,Brady Schnell,42,33.33,46,138
198,201,David Hearn,41,32.54,41,126
199,202,Rod Pampling,42,30.47,39,128
200,203,J.J. Henry,44,28.91,37,128
