RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,1,Adam Scott,45,58.11,86,148
2,2,Gary Woodland,67,57.82,122,211
3,3,Bryson DeChambeau,53,56.96,90,158
4,4,Justin Thomas,55,56.79,92,162
5,5,Martin Kaymer,42,55.88,76,136
6,6,Matt Kuchar,69,55.10,108,196
7,7,Ian Poulter,51,54.79,80,146
8,8,Paul Casey,59,54.40,99,182
T9,T9,Luke List,54,54.17,91,168
T9,T9,Rory McIlroy,54,54.17,91,168
11,11,Si Woo Kim,69,54.05,120,222
12,12,Wyndham Clark,65,53.92,110,204
13,13,Brooks Koepka,57,53.85,84,156
14,14,Talor Gooch,37,53.45,62,116
15,15,Bubba Watson,53,53.42,78,146
16,16,Cameron Champ,60,53.30,97,182
17,17,Sungjae Im,92,52.63,150,285
18,18,Xander Schauffele,59,52.08,100,192
19,19,Dustin Johnson,51,51.88,83,160
20,20,Jon Rahm,55,51.79,87,168
21,21,Sam Ryder,56,51.55,100,194
22,22,Troy Merritt,45,51.52,68,132
23,23,Hideki Matsuyama,63,51.50,103,200
24,24,Adam Hadwin,68,51.44,107,208
25,25,Bud Cauley,63,50.98,104,204
26,26,Trey Mullinax,69,50.97,105,206
27,27,Keith Mitchell,66,50.96,106,208
28,28,Jason Day,53,50.60,85,168
29,29,Dylan Frittelli,57,50.56,91,180
30,30,Nick Watney,71,50.46,110,218
T31,T31,Matt Every,38,50.00,56,112
T31,T31,Sergio Garcia,43,50.00,52,104
T31,T31,Sung Kang,70,50.00,111,222
T31,T31,Marc Leishman,60,50.00,94,188
T31,T31,Denny McCarthy,65,50.00,99,198
T31,T31,Aaron Wise,56,50.00,87,174
37,37,Matt Jones,72,49.56,112,226
38,38,Tony Finau,65,49.49,97,196
39,39,Max Homa,63,49.48,96,194
40,40,SebastiÃ¡n MuÃ±oz,60,49.46,92,186
41,41,Hudson Swafford,59,49.45,90,182
42,42,Seth Reeves,56,49.43,86,174
43,43,Patrick Cantlay,57,49.42,85,172
44,44,Dominic Bozzelli,55,49.40,82,166
45,45,Justin Rose,46,49.31,71,144
46,46,Tiger Woods,35,49.04,51,104
47,47,Jhonattan Vegas,62,49.00,98,200
48,48,Rickie Fowler,58,48.94,92,188
49,49,JuliÃ¡n Etulain,59,48.91,90,184
50,50,Hank Lebioda,59,48.86,86,176
51,51,Grayson Murray,36,48.82,62,127
52,52,Cody Gribble,58,48.81,82,168
53,53,Stephan Jaeger,63,48.39,90,186
54,55,Byeong Hun An,60,48.13,90,187
55,56,Bill Haas,58,48.00,84,175
56,57,Kevin Tway,66,47.96,94,196
57,58,Brandon Harkins,71,47.69,103,216
58,59,Danny Willett,51,47.67,82,172
59,60,Patrick Reed,61,47.34,89,188
60,61,Emiliano Grillo,73,47.32,106,224
61,62,Rory Sabbatini,75,47.03,111,236
62,63,Ryan Palmer,56,46.95,77,164
63,64,Wes Roach,47,46.94,69,147
64,65,Webb Simpson,57,46.91,76,162
65,66,J.J. Spaun,72,46.82,103,220
66,67,Sam Burns,70,46.76,101,216
T67,T68,Cameron Davis,58,46.74,86,184
T67,T68,Michael Thompson,56,46.74,86,184
69,70,Chris Kirk,47,46.71,71,152
70,71,Brandt Snedeker,76,46.67,112,240
71,72,Patrick Rodgers,44,46.58,68,146
72,73,Joel Dahmen,84,46.54,121,260
73,74,Kiradech Aphibarnrat,53,46.34,76,164
T74,T75,Jordan Spieth,63,46.32,88,190
T74,T75,Henrik Stenson,50,46.32,63,136
76,78,Ryan Moore,58,46.00,92,200
77,79,Roberto DÃ­az,55,45.88,78,170
78,80,Chez Reavie,75,45.87,100,218
79,81,Martin Trainer,53,45.86,83,181
80,82,John Chin,40,45.65,63,138
81,83,Rafa Cabrera Bello,61,45.59,93,204
82,84,Austin Cook,52,45.51,71,156
83,85,Harris English,79,45.49,111,244
84,86,Ryan Blaum,71,45.41,99,218
85,87,Roger Sloan,64,45.32,92,203
86,88,Bronson Burgoon,41,45.31,58,128
87,89,Charles Howell III,68,45.21,99,219
88,90,Johnson Wagner,45,45.14,65,144
89,91,Adam Schenk,82,45.11,120,266
90,92,Scott Piercy,74,45.09,101,224
91,93,Scott Stallings,65,44.86,96,214
92,94,Alex Noren,51,44.81,69,154
93,95,Beau Hossler,69,44.78,103,230
94,96,C.T. Pan,70,44.64,100,224
95,97,Andrew Putnam,65,44.44,88,198
96,98,Martin Laird,64,44.33,86,194
97,99,Jim Knous,57,44.32,78,176
98,100,Sangmoon Bae,46,44.29,62,140
99,101,Branden Grace,64,44.27,85,192
100,102,Lucas Glover,66,44.23,92,208
101,103,Peter Malnati,68,44.22,88,199
102,104,Brian Gay,81,44.17,106,240
103,105,Ollie Schniederjans,67,44.08,93,211
104,106,Nick Taylor,77,44.07,104,236
105,107,Kevin Streelman,67,43.98,95,216
106,108,Brendan Steele,54,43.96,80,182
107,109,Mackenzie Hughes,62,43.89,79,180
108,110,Abraham Ancer,77,43.86,100,228
109,111,Daniel Berger,54,43.83,71,162
T110,T112,Keegan Bradley,71,43.75,91,208
T110,T112,Haotong Li,36,43.75,49,112
T110,T112,J.T. Poston,78,43.75,105,240
T110,T112,Sepp Straka,54,43.75,77,176
114,116,Kramer Hickok,63,43.56,88,202
115,117,Adam Svensson,53,43.53,74,170
116,118,Kyle Stanley,61,43.48,80,184
117,119,Sam Saunders,59,43.46,83,191
118,120,Russell Knox,69,43.43,86,198
119,122,Matt Wallace,35,43.14,44,102
120,123,Cameron Tringale,55,43.10,75,174
121,124,Tommy Fleetwood,51,43.06,62,144
122,125,Vaughn Taylor,73,43.04,99,230
T123,T126,Lucas Bjerregaard,39,43.00,43,100
T123,T126,Danny Lee,68,43.00,86,200
125,128,Pat Perez,52,42.94,73,170
126,129,Richy Werenski,67,42.79,89,208
127,130,Seamus Power,62,42.70,79,185
128,131,Jim Furyk,57,42.59,69,162
129,132,Kyoung-Hoon Lee,78,42.39,103,243
130,133,Matthew Fitzpatrick,46,42.36,61,144
131,134,Cameron Smith,61,42.31,77,182
132,135,Graeme McDowell,65,42.27,82,194
133,136,Kevin Na,56,42.26,71,168
134,137,Nate Lashley,48,42.21,65,154
135,138,Jimmy Walker,63,42.00,84,200
136,139,Zach Johnson,54,41.98,68,162
137,140,Robert Streb,64,41.84,82,196
138,141,Alex Prugh,62,41.80,79,189
T139,T142,Aaron Baddeley,55,41.67,80,192
T139,T142,Scott Brown,70,41.67,85,204
T139,T142,Josh Teater,51,41.67,65,156
142,145,Harold Varner III,66,41.50,83,200
143,146,Peter Uihlein,67,41.40,89,215
144,147,JosÃ© de JesÃºs RodrÃ­guez,53,41.38,72,174
