RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
T134,T134,Ollie Schniederjans,91,12.50,44,352
136,136,Rory Sabbatini,91,12.47,45,361
137,137,Kevin Kisner,89,12.46,38,305
T138,T138,Russell Knox,94,12.40,45,363
T138,T138,Kevin Streelman,94,12.40,46,371
140,140,Charl Schwartzel,65,12.39,29,234
T141,T141,Billy Hurley III,70,12.36,32,259
T141,T141,Jamie Lovemark,92,12.36,44,356
T141,T141,Xander Schauffele,96,12.36,45,364
T144,T144,Scott Brown,102,12.34,49,397
T144,T144,Cameron Smith,85,12.34,38,308
146,146,Joel Dahmen,93,12.32,42,341
147,147,Jimmy Walker,81,12.22,38,311
T148,T148,Brian Harman,94,12.15,43,354
T148,T148,Matt Kuchar,88,12.15,39,321
150,150,Kelly Kraft,94,12.13,45,371
151,151,Kevin Chappell,77,12.11,35,289
152,152,Sean O'Hair,67,12.06,31,257
T153,T153,David Lingmerth,82,12.03,38,316
T153,T153,Graeme McDowell,67,12.03,29,241
155,155,Adam Schenk,86,12.00,39,325
156,156,Rory McIlroy,64,11.93,29,243
157,157,Lanto Griffin,80,11.78,35,297
158,158,Dominic Bozzelli,65,11.70,31,265
159,159,Retief Goosen,60,11.54,24,208
160,160,Matt Every,79,11.48,35,305
161,161,Chris Stroud,81,11.42,33,289
162,162,Bill Haas,76,11.33,34,300
163,163,Chad Campbell,87,11.25,36,320
164,164,Scott Piercy,84,11.21,36,321
165,165,Jason Dufner,71,11.20,28,250
166,166,Brice Garnett,99,11.17,43,385
167,167,Bubba Watson,90,11.11,35,315
168,168,Hunter Mahan,67,11.07,28,253
169,169,Richy Werenski,98,11.05,41,371
170,170,Gary Woodland,96,11.02,40,363
171,171,Peter Uihlein,83,10.97,34,310
172,172,Stephan Jaeger,81,10.82,33,305
173,173,Hudson Swafford,73,10.53,28,266
174,174,Lucas Glover,65,10.48,26,248
175,175,Patrick Reed,94,10.43,36,345
176,176,Brendan Steele,74,10.38,27,260
177,177,Steve Wheatcroft,60,10.30,24,233
178,178,Kyle Thompson,50,10.27,19,185
179,179,Alex Noren,67,10.17,24,236
180,180,J.B. Holmes,77,10.16,31,305
181,181,Rod Pampling,62,10.13,24,237
182,182,Tom Lovelady,87,10.09,33,327
183,183,Webb Simpson,95,10.05,37,368
184,184,Tyrrell Hatton,58,9.91,21,212
185,185,Jonathan Randolph,71,9.89,26,263
186,186,D.A. Points,63,9.88,24,243
187,187,Roberto DÃ­az,72,9.52,26,273
188,188,Cameron Tringale,67,9.49,24,253
189,189,Kiradech Aphibarnrat,51,9.44,17,180
190,190,Matt Jones,70,9.31,23,247
191,191,Henrik Stenson,60,8.56,19,222
192,192,Aaron Baddeley,84,7.89,25,317
193,193,Daniel Summerhays,51,6.08,11,181
